,mean,std,mean_std
accuracy,0.8782312925170068,0.04063166845991278,0.8782 +/- 0.0406
precision,0.7024506947755003,0.19949571069122865,0.7025 +/- 0.1995
recall,0.5736702127659574,0.07606594791145657,0.5737 +/- 0.0761
f1,0.6107078011328511,0.05650785353186737,0.6107 +/- 0.0565
roc_auc,0.8109732053044537,0.02814791507914611,0.8110 +/- 0.0281
pr_auc,0.6054672518921775,0.07712732662110022,0.6055 +/- 0.0771
threshold,0.6774941086769104,0.12689336765505432,0.6775 +/- 0.1269
best_epoch,8.6,7.05691150575094,8.6000 +/- 7.0569
