model,augmentation,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold
LSTM,RandomOverSampling,0.7129251700680272,0.27710843373493976,0.48523206751054854,0.35276073619631904,0.6472566995527358,0.3080818550748585,0.5776366591453552
RNN,RandomOverSampling,0.8231292517006803,0.4612794612794613,0.5780590717299579,0.5131086142322098,0.7661940791387342,0.419179941377122,0.6017298102378845
Transformer,RandomOverSampling,0.8428571428571429,0.5120967741935484,0.5358649789029536,0.5237113402061856,0.7943679612348189,0.5371808471216502,0.6963936686515808
