epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,lr
1,0.5943204868154158,0.5584905660377358,0.9006085192697769,0.6894409937888198,0.6944479302527473,0.6948315843176476,0.34133222699165344,0.6355255286060046,0.7789115646258503,0.3902439024390244,0.6808510638297872,0.49612403100775193,0.7624257041950211,0.47341753100443024,0.48203718662261963,0.5143643244594133,0.4961240310072887,0.0007
2,0.7844827586206896,0.771539206195547,0.808316430020284,0.7894997523526498,0.8499757250595559,0.8466723665259783,0.47188568115234375,0.5012781967014135,0.8299319727891157,0.4727272727272727,0.5531914893617021,0.5098039215686274,0.7750021535015936,0.5308081611637947,0.6180964112281799,0.5212921043034313,0.5098039215681305,0.0007
3,0.7956389452332657,0.771668219944082,0.8397565922920892,0.804273919378339,0.8779165929503926,0.8805714281575961,0.4522590637207031,0.44682880776649075,0.8163265306122449,0.4406779661016949,0.5531914893617021,0.49056603773584906,0.7625979843225085,0.5273095650727031,0.609589695930481,0.507769390433824,0.49056603773535545,0.0007
4,0.8194726166328601,0.7916666666666666,0.8671399594320487,0.8276863504356244,0.8933527807149999,0.8911794273705986,0.4431056082248688,0.41484003152856963,0.8299319727891157,0.47619047619047616,0.6382978723404256,0.5454545454545454,0.7699198897407185,0.5465324683680292,0.5425638556480408,0.48863418907129846,0.545454545454056,0.0007
5,0.8321501014198783,0.8170377541142304,0.8559837728194726,0.8360574541852402,0.9104861571123518,0.9100652242192293,0.46326902508735657,0.3845336872472241,0.8333333333333334,0.48148148148148145,0.5531914893617021,0.5148514851485149,0.7674218278921527,0.5447313362717054,0.6255925893783569,0.500186662892906,0.5148514851480172,0.0007
6,0.8372210953346856,0.8070175438596491,0.8864097363083164,0.8448525857902368,0.9153977181555982,0.9136643910783901,0.43152403831481934,0.37197879603619993,0.8571428571428571,0.5641025641025641,0.46808510638297873,0.5116279069767442,0.7660435868722543,0.5441565851995531,0.7282888889312744,0.4887169174799303,0.5116279069762485,0.0007
7,0.8438133874239351,0.8043087971274686,0.9087221095334685,0.8533333333333334,0.9203771667441544,0.9174074642549201,0.39012688398361206,0.36094131570075155,0.8401360544217688,0.5,0.5106382978723404,0.5052631578947369,0.7603583426651735,0.5448996435913782,0.6404964923858643,0.47673207379522775,0.5052631578942369,0.0007
8,0.8488843813387424,0.8049645390070922,0.920892494929006,0.859035004730369,0.9244833346362256,0.9193898622311608,0.37261924147605896,0.3530071311258157,0.8197278911564626,0.45,0.574468085106383,0.5046728971962616,0.7583771211990697,0.5410684039832582,0.5270073413848877,0.4812816355605515,0.504672897195769,0.0007
9,0.8701825557809331,0.8424015009380863,0.9107505070993914,0.8752436647173489,0.9373696250550301,0.934030406608121,0.4234110713005066,0.32338185490507626,0.8741496598639455,0.6785714285714286,0.40425531914893614,0.5066666666666667,0.7589801016452752,0.5435295629361436,0.8215637803077698,0.49503576649086817,0.5066666666661986,0.0007
10,0.8605476673427992,0.8401913875598086,0.8904665314401623,0.8645987198424422,0.9298598225049268,0.9265931523391703,0.44595035910606384,0.33660528807320894,0.8537414965986394,0.5476190476190477,0.48936170212765956,0.5168539325842697,0.7440778706176243,0.5457767267630775,0.621681272983551,0.4756232503624189,0.5168539325837712,0.0007
