epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,lr
1,0.5,0.5,1.0,0.6666666666666666,0.504463804534942,0.4997943485198121,0.2925771474838257,0.6970003102325741,0.30272108843537415,0.17695473251028807,0.8958333333333334,0.29553264604810997,0.5442920054200542,0.23242328124493297,0.5395126938819885,0.7540713605426607,0.2955326460478344,0.0007
2,0.5005065856129686,0.5002534211860111,1.0,0.6668918918918919,0.5057110213936186,0.5130872237052002,0.41992565989494324,0.6950494656084518,0.2789115646258503,0.1796875,0.9583333333333334,0.3026315789473684,0.5442073170731707,0.21924522199977958,0.4599015414714813,0.6496878250115583,0.30263157894710246,0.0007
3,0.5,0.5,1.0,0.6666666666666666,0.5211575198964451,0.5224959689515981,0.3565150797367096,0.6931425350536088,0.3163265306122449,0.1825726141078838,0.9166666666666666,0.3044982698961938,0.5399728997289974,0.21278907050912907,0.4975542724132538,0.7075262081866361,0.3044982698959168,0.0007
4,0.5030395136778115,0.5015259409969481,0.9989868287740629,0.667795462241788,0.5729662922963059,0.5514880757054035,0.3078271150588989,0.6867489483822684,0.30272108843537415,0.17959183673469387,0.9166666666666666,0.3003412969283277,0.5409044715447154,0.21368093540366714,0.5438991189002991,0.8268550399209367,0.3003412969280536,0.0007
5,0.5177304964539007,0.5092348284960422,0.977710233029382,0.6696738376127689,0.5769152990908148,0.5597532728953425,0.3477063775062561,0.6836883698070182,0.32653061224489793,0.18220338983050846,0.8958333333333334,0.3028169014084507,0.5525067750677507,0.22284633100136714,0.43994060158729553,0.6989786085628328,0.30281690140816975,0.0007
6,0.5481256332320162,0.5268817204301075,0.9432624113475178,0.6761074800290486,0.5986979671904977,0.5742256232400607,0.40052860975265503,0.6763134523848753,0.6496598639455783,0.22772277227722773,0.4791666666666667,0.3087248322147651,0.5711382113821137,0.24509985904595658,0.4920676648616791,0.6272838204896369,0.3087248322143284,0.0007
7,0.5425531914893617,0.524,0.9290780141843972,0.670076726342711,0.609324460129608,0.6025744005320949,0.34030625224113464,0.6767716515873462,0.7517006802721088,0.3188405797101449,0.4583333333333333,0.37606837606837606,0.6113651761517616,0.2851113600712014,0.6133517622947693,0.773245099855929,0.3760683760678921,0.0007
8,0.5405268490374874,0.5221238938053098,0.9564336372847011,0.6754919499105546,0.6276539286304532,0.5982883069094983,0.34225717186927795,0.6690317314446516,0.7653061224489796,0.3384615384615385,0.4583333333333333,0.3893805309734513,0.6238143631436315,0.2943008111677402,0.6667687296867371,0.7947852980522883,0.38938053097296266,0.0007
9,0.5542046605876393,0.5309785755645628,0.9290780141843972,0.6757553426676493,0.6376917146819494,0.6123165322027844,0.35112741589546204,0.6647176356059561,0.7482993197278912,0.3142857142857143,0.4583333333333333,0.3728813559322034,0.6310975609756097,0.30314598925105946,0.5681867599487305,0.6539665659268697,0.3728813559317208,0.0007
10,0.5683890577507599,0.541334966319657,0.8956433637284701,0.6748091603053435,0.6443861383394462,0.6269411840028665,0.36945614218711853,0.6622918692644848,0.7278911564625851,0.3,0.5,0.375,0.629319105691057,0.30142490286842283,0.5896120071411133,0.7099859146844774,0.3749999999995312,0.0007
11,0.5506585612968592,0.5290697674418605,0.9219858156028369,0.6723309937199852,0.6545548051724086,0.6496508996708679,0.3420974910259247,0.6575658375731355,0.7619047619047619,0.3333333333333333,0.4583333333333333,0.38596491228070173,0.6336382113821138,0.30078963524748764,0.5304432511329651,0.5892124857221331,0.38596491228021423,0.0007
12,0.5552178318135765,0.5319273579379028,0.9199594731509625,0.674090571640683,0.6492744072127116,0.6320860558501744,0.35782796144485474,0.6594011112670164,0.782312925170068,0.34615384615384615,0.375,0.36,0.6242378048780488,0.2966698452947295,0.6428436040878296,0.7153291090005109,0.3599999999995008,0.0007
13,0.5628166160081054,0.5372148859543817,0.9067882472137792,0.6747078778741048,0.6612815640817968,0.6537773129560616,0.3531359136104584,0.6534373238456286,0.7993197278911565,0.37209302325581395,0.3333333333333333,0.3516483516483517,0.6198340108401085,0.2921834220849824,0.6922680735588074,0.7474283486807427,0.3516483516478532,0.0007
14,0.601823708206687,0.5686006825938567,0.8439716312056738,0.6794453507340946,0.6562557420735006,0.640823229864338,0.4116165041923523,0.6550510458066954,0.7993197278911565,0.37209302325581395,0.3333333333333333,0.3516483516483517,0.6292344173441735,0.2920961314415894,0.6616751551628113,0.654323047521163,0.3516483516478532,0.0007
15,0.5425531914893617,0.5235162374020157,0.9473150962512664,0.6743598990263253,0.6679990843477878,0.66879375394157,0.3022973835468292,0.6489884133517682,0.7789115646258503,0.33962264150943394,0.375,0.3564356435643564,0.6234756097560976,0.28991873110510796,0.6529279351234436,0.7006280985819239,0.3564356435638577,0.00035
16,0.5623100303951368,0.5363690124186872,0.9189463019250254,0.6773711725168036,0.6650837790978773,0.660460314446711,0.33744382858276367,0.6502126257228754,0.6700680272108843,0.25742574257425743,0.5416666666666666,0.348993288590604,0.626439701897019,0.2899204802619751,0.6077635884284973,0.758438475277959,0.3489932885901673,0.00035
17,0.5795339412360689,0.5490318550905684,0.8905775075987842,0.6792890262751159,0.6751965008124874,0.6761454682695388,0.370003342628479,0.6448451336756303,0.6972789115646258,0.27472527472527475,0.5208333333333334,0.3597122302158273,0.6327913279132791,0.3000647656832992,0.5660170912742615,0.684859055240138,0.35971223021537524,0.00035
18,0.5709219858156028,0.5411280846063454,0.9331306990881459,0.6850130159910748,0.6693253429333104,0.6583555244645798,0.3376045823097229,0.647885240621963,0.7040816326530612,0.27586206896551724,0.5,0.35555555555555557,0.6312669376693767,0.29862940567784374,0.5731658339500427,0.6820840677436517,0.35555555555509727,0.00035
19,0.5764944275582573,0.5453453453453454,0.9199594731509625,0.6847662141779789,0.6758806736818765,0.6721244480077375,0.35092422366142273,0.6444939718541162,0.7414965986394558,0.3055555555555556,0.4583333333333333,0.36666666666666664,0.6361788617886178,0.30225346058431346,0.6152514219284058,0.6855241668467619,0.36666666666618675,0.00035
20,0.5810536980749746,0.5488400488400489,0.9108409321175278,0.684952380952381,0.6821557655807156,0.6748693797052292,0.3419029414653778,0.6404894292656532,0.826530612244898,0.45161290322580644,0.2916666666666667,0.35443037974683544,0.632960704607046,0.29806347056732563,0.6946732997894287,0.6625529515499972,0.3544303797463586,0.00035
21,0.569402228976697,0.5397562391178178,0.9422492401215805,0.6863468634686347,0.6816106856202568,0.6730232696079987,0.31560224294662476,0.640081105019667,0.717687074829932,0.2891566265060241,0.5,0.366412213740458,0.6371104336043361,0.2999993082995327,0.5536537170410156,0.6417700546939357,0.36641221373999366,0.00035
22,0.5795339412360689,0.5465875370919882,0.9331306990881459,0.6893712574850299,0.6819186404001771,0.6741120972083495,0.31087109446525574,0.6404813910327783,0.7857142857142857,0.3469387755102041,0.3541666666666667,0.35051546391752575,0.6382960704607046,0.2974107453827307,0.66009122133255,0.7041958886749891,0.35051546391702587,0.000175
23,0.5916919959473151,0.5561066336019839,0.9088145896656535,0.69,0.6842878391736957,0.6756696723819672,0.3657248020172119,0.639740064634499,0.7074829931972789,0.27380952380952384,0.4791666666666667,0.3484848484848485,0.6357554200542006,0.29649104937749843,0.5443434715270996,0.6387636892649592,0.3484848484843857,0.000175
24,0.5785207700101317,0.5471698113207547,0.9108409321175278,0.6836501901140685,0.6809198403973027,0.6719358406571261,0.33077698945999146,0.6418281978386876,0.6972789115646258,0.27472527472527475,0.5208333333333334,0.3597122302158273,0.6418529810298104,0.29802911986656483,0.5791588425636292,0.6998470267471002,0.35971223021537524,0.000175
25,0.5739614994934144,0.5434007134363853,0.9260385005065856,0.6849007118771075,0.6892551497738071,0.6841514767033131,0.3432142734527588,0.6363803607835354,0.7040816326530612,0.27058823529411763,0.4791666666666667,0.3458646616541353,0.6330453929539296,0.2925838403638917,0.5546083450317383,0.6439163745666037,0.345864661653674,0.000175
26,0.6003039513677811,0.5638709677419355,0.8855116514690983,0.6890027591643674,0.6835826227276786,0.6775757882091,0.3544594645500183,0.639319753574383,0.6836734693877551,0.2631578947368421,0.5208333333333334,0.34965034965034963,0.6382960704607046,0.2955410365372025,0.5417202711105347,0.6584129828174098,0.34965034964990366,0.000175
27,0.5754812563323202,0.5451788963007883,0.9108409321175278,0.6820940819423369,0.6854447226302623,0.6826935512233052,0.3330390751361847,0.6389611815125988,0.7210884353741497,0.2926829268292683,0.5,0.36923076923076925,0.6363482384823849,0.2951421293322509,0.5779175162315369,0.6768234631642193,0.3692307692303034,0.000175
28,0.5906788247213779,0.5559025608994379,0.9017223910840932,0.6877897990726429,0.6847374531523791,0.6820982943103877,0.34494930505752563,0.6383931261790198,0.7108843537414966,0.2823529411764706,0.5,0.3609022556390977,0.6358401084010841,0.29230948405973933,0.5793423056602478,0.6888001439522724,0.3609022556386364,0.000175
29,0.5906788247213779,0.5548743102391172,0.916919959473151,0.6913674560733384,0.6907959501893408,0.6839841568434034,0.3270688056945801,0.6349712269042884,0.7210884353741497,0.2926829268292683,0.5,0.36923076923076925,0.6394817073170732,0.2954151951129142,0.5671425461769104,0.6712008483555852,0.3692307692303034,8.75e-05
30,0.5805471124620061,0.5471250740960285,0.9351570415400202,0.6903515332834704,0.6973430688104425,0.6917479400419139,0.33442172408103943,0.6315644320021284,0.717687074829932,0.2891566265060241,0.5,0.366412213740458,0.6389735772357724,0.2937398251367852,0.5631555318832397,0.6602634795668985,0.36641221373999366,8.75e-05
