epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,lr
1,0.5015197568389058,0.5007625826131165,0.9979736575481256,0.6668923493568043,0.5352664681384852,0.5363698166396413,0.28169408440589905,0.6981399884219107,0.6938775510204082,0.28125,0.5625,0.375,0.6786924119241192,0.33295164055612353,0.41688719391822815,0.558114426071141,0.3749999999995556,0.0007
2,0.5,0.5,1.0,0.6666666666666666,0.5932492206177779,0.6022555116360627,0.26568281650543213,0.6795791981188842,0.8333333333333334,0.48484848484848486,0.3333333333333333,0.3950617283950617,0.6438855013550134,0.3121582426644777,0.6088374257087708,0.6895044746042109,0.39506172839457887,0.0007
3,0.5096251266464032,0.5048994326972667,0.9918946301925026,0.6691729323308271,0.6352203775730906,0.6347525535504337,0.32687288522720337,0.6642087057247954,0.8231292517006803,0.4523809523809524,0.3958333333333333,0.4222222222222222,0.6743733062330622,0.3259152084075054,0.7208452820777893,0.7377192130705126,0.42222222222172445,0.0007
4,0.5805471124620061,0.5486238532110091,0.9088145896656535,0.6842105263157895,0.680501535154578,0.674642529440155,0.33982613682746887,0.642234691430974,0.7959183673469388,0.4090909090909091,0.5625,0.47368421052631576,0.7206131436314362,0.3883726282796566,0.6478322744369507,0.678213605669891,0.47368421052582826,0.0007
5,0.5957446808510638,0.5596967782691092,0.8976697061803445,0.6894941634241245,0.6922710535851583,0.691628716237029,0.34999191761016846,0.6331751631023673,0.8163265306122449,0.45,0.5625,0.5,0.7013042005420054,0.39652997085702324,0.5267505645751953,0.5557199384079499,0.4999999999995061,0.0007
6,0.6028368794326241,0.5637963544940289,0.9088145896656535,0.6958882854926299,0.7025813796168837,0.697285730803215,0.35192713141441345,0.6280208947750331,0.8061224489795918,0.423728813559322,0.5208333333333334,0.4672897196261682,0.6928353658536586,0.3490238511478895,0.6665148735046387,0.6573697738096017,0.46728971962567356,0.0007
7,0.601823708206687,0.5635673624288425,0.9027355623100304,0.6939252336448598,0.7024407469340535,0.6962177607317208,0.33540448546409607,0.6287741170707324,0.8333333333333334,0.4888888888888889,0.4583333333333333,0.4731182795698925,0.6980860433604337,0.40426528154810265,0.5927156805992126,0.5797057419407124,0.473118279569393,0.0007
8,0.6585612968591692,0.6161841128433556,0.8409321175278622,0.7112253641816624,0.7512115454300023,0.7510545991790034,0.3584790527820587,0.5897984209092072,0.8537414965986394,0.5925925925925926,0.3333333333333333,0.4266666666666667,0.7347560975609757,0.4446059962950515,0.7493991851806641,0.5583769170199933,0.4266666666662059,0.0007
9,0.6879432624113475,0.6568047337278107,0.7872340425531915,0.7161290322580646,0.7700850673753733,0.7700401113113944,0.4023332893848419,0.5719775419829465,0.7585034013605442,0.37362637362637363,0.7083333333333334,0.4892086330935252,0.755250677506775,0.4359589809682071,0.4378606081008911,0.5064109730071762,0.48920863309307294,0.0007
10,0.6697061803444783,0.6262245666917859,0.8419452887537994,0.7182368193604148,0.7798256770642465,0.7928437530496006,0.3293764889240265,0.5611229906086984,0.7993197278911565,0.4067796610169492,0.5,0.4485981308411215,0.7413617886178862,0.4188241228304622,0.6449345350265503,0.5718400575676743,0.44859813084062683,0.0007
