epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,lr
1,0.5,0.5,1.0,0.6666666666666666,0.5022732195337769,0.4976597278869814,0.3487631678581238,0.697797988565014,0.6904761904761905,0.26881720430107525,0.5208333333333334,0.3546099290780142,0.642869241192412,0.32662745264671483,0.5036550760269165,0.6929122359574247,0.3546099290775651,0.0007
2,0.5,0.5,1.0,0.6666666666666666,0.5289585277297882,0.5198107208966396,0.38407936692237854,0.6929948500828419,0.8061224489795918,0.41818181818181815,0.4791666666666667,0.44660194174757284,0.6764058265582655,0.3382383307820361,0.5243110060691833,0.7015277447343684,0.4466019417470751,0.0007
3,0.5790273556231003,0.5493046776232617,0.8804457953394124,0.6765278318411834,0.6531710616946342,0.6479916805371637,0.38567742705345154,0.6579871301472248,0.8537414965986394,0.5641025641025641,0.4583333333333333,0.5057471264367817,0.7278116531165311,0.40042483316169075,0.6272851228713989,0.5694711986853151,0.5057471264362869,0.0007
4,0.5957446808510638,0.5603833865814697,0.8885511651469098,0.6873040752351097,0.7009394673819431,0.6972991513452934,0.3305332064628601,0.6294009503743327,0.8401360544217688,0.5111111111111111,0.4791666666666667,0.4946236559139785,0.7333163956639566,0.4157961939117084,0.8140342235565186,0.6675675503250693,0.494623655913479,0.0007
5,0.6332320162107397,0.5971914264597191,0.8186423505572442,0.6905982905982906,0.718627876682588,0.7182126320458544,0.3517600893974304,0.6160811100083402,0.8673469387755102,0.68,0.3541666666666667,0.4657534246575342,0.71654810298103,0.4321293484689724,0.8250811100006104,0.6542288231200912,0.4657534246570839,0.0007
6,0.6540020263424519,0.6194968553459119,0.7983789260385005,0.6976538291279327,0.714279555190116,0.7018002234843973,0.3985849618911743,0.6234158792635832,0.8469387755102041,0.5384615384615384,0.4375,0.4827586206896552,0.7328082655826558,0.4465229768409092,0.6828585267066956,0.6176839669545492,0.48275862068916053,0.0007
7,0.6737588652482269,0.6388663967611335,0.7993920972644377,0.7101710171017102,0.7389857406671737,0.7366811543269405,0.41118568181991577,0.6018638092092226,0.8401360544217688,0.5116279069767442,0.4583333333333333,0.4835164835164835,0.7360264227642276,0.436155543881663,0.46055176854133606,0.4262244125612739,0.4835164835159851,0.0007
8,0.6504559270516718,0.6091109478324761,0.839918946301925,0.7061328790459966,0.7346035441489105,0.7291752850749484,0.33932867646217346,0.6064405782486046,0.8435374149659864,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7508468834688345,0.4542965410958079,0.7288306951522827,0.5809701514892838,0.4888888888883911,0.0007
9,0.6443768996960486,0.5991649269311065,0.8723404255319149,0.7103960396039604,0.7439622899106829,0.7337617739041686,0.3245067298412323,0.5993621219496839,0.8707482993197279,0.6785714285714286,0.3958333333333333,0.5,0.7588075880758808,0.5202529214295508,0.7596744894981384,0.5253160879725501,0.4999999999995346,0.0007
10,0.6469098277608916,0.5985054347826086,0.8926038500506586,0.7165514436762912,0.7591383014651462,0.757564535357212,0.304281085729599,0.5844009984228024,0.8537414965986394,0.5641025641025641,0.4583333333333333,0.5057471264367817,0.7761686991869918,0.5525919138863007,0.6542497277259827,0.4610437225727808,0.5057471264362869,0.00035
