epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_best_threshold,val_best_threshold_score,val_optimized_f1,val_optimized_precision,val_optimized_recall,val_optimized_f1_epoch,val_optimized_precision_epoch,val_optimized_recall_epoch,monitor_score,lr
1,0.794,0.2833333333333333,0.010480887792848335,0.020214030915576695,0.5076735243954732,0.20919901660651194,0.5,0.7706513067483902,0.797,0.0,0.0,0.0,0.4654500250322947,0.18746436497256708,0.5,0.7656045265197754,0.3287662863731384,0.3374896093097776,0.33748960931005817,0.203,1.0,0.33748960931005817,0.203,1.0,0.33748960931005817,0.0005
2,0.79725,0.0,0.0,0.0,0.4816717376586208,0.19596760433037677,0.5,0.7695933578014373,0.797,0.0,0.0,0.0,0.5140049508316286,0.2113201069292657,0.5,0.7654651646614075,0.3277738392353058,0.34123222748786297,0.3412322274881517,0.20678851174934726,0.9753694581280788,0.3412322274881517,0.20678851174934726,0.9753694581280788,0.3412322274881517,0.0005
3,0.79725,0.0,0.0,0.0,0.5189532432502448,0.21745013098503632,0.5,0.7646333873271942,0.797,0.0,0.0,0.0,0.4810449901416024,0.194118375258273,0.5,0.7665903277397156,0.31359389424324036,0.33905399748820675,0.3390539974884889,0.2042360060514372,0.9975369458128078,0.3390539974884889,0.2042360060514372,0.9975369458128078,0.3390539974884889,0.0005
4,0.79725,0.0,0.0,0.0,0.5085963753330558,0.2036615400033202,0.5,0.7673631726503373,0.797,0.0,0.0,0.0,0.4991934038358129,0.21404874424971143,0.5,0.7672856025695801,0.30856606364250183,0.3398305084742913,0.3398305084745763,0.2052200614124872,0.9876847290640394,0.3398305084745763,0.2052200614124872,0.9876847290640394,0.3398305084745763,0.0005
5,0.79725,0.0,0.0,0.0,0.5020248202146791,0.20277949746260965,0.5,0.7669855891466141,0.797,0.0,0.0,0.0,0.5146570266578487,0.22398749232577114,0.5,0.7676838955879212,0.30620843172073364,0.3413793103445388,0.3413793103448276,0.20689655172413793,0.9753694581280788,0.3413793103448276,0.20689655172413793,0.9753694581280788,0.3413793103448276,0.0005
6,0.79725,0.0,0.0,0.0,0.5045358118748983,0.20592781773956853,0.5,0.7666680614948272,0.797,0.0,0.0,0.0,0.49582177006137546,0.21602873989394095,0.5,0.7662674932479858,0.31703922152519226,0.33819241982479187,0.33819241982507287,0.20350877192982456,1.0,0.33819241982507287,0.20350877192982456,1.0,0.33819241982507287,0.0005
7,0.79725,0.0,0.0,0.0,0.5023690889498001,0.20991314208228573,0.5,0.7664903672933578,0.797,0.0,0.0,0.0,0.5005477745980926,0.2192895014033197,0.5,0.765786406993866,0.3227837085723877,0.3388981636057285,0.33889816360601,0.20402010050251257,1.0,0.33889816360601,0.20402010050251257,1.0,0.33889816360601,0.0005
8,0.79725,0.0,0.0,0.0,0.49062098482027655,0.19623897038832516,0.5,0.7671844274997711,0.797,0.0,0.0,0.0,0.4940084738953341,0.21092596813316003,0.5,0.7659075255393982,0.3210558295249939,0.33805162364667996,0.33805162364696084,0.20340681362725452,1.0,0.33805162364696084,0.20340681362725452,1.0,0.33805162364696084,0.0005
9,0.79725,0.0,0.0,0.0,0.5040675232641181,0.2064467778400183,0.5,0.766148792386055,0.797,0.0,0.0,0.0,0.491993528688246,0.20914685431884347,0.5,0.7654026489257812,0.3373600244522095,0.33777038269522675,0.33777038269550747,0.2032032032032032,1.0,0.33777038269550747,0.2032032032032032,1.0,0.33777038269550747,0.0005
10,0.79725,0.0,0.0,0.0,0.4953482880230633,0.20008506697223477,0.5,0.7667380447387695,0.797,0.0,0.0,0.0,0.4780241175343498,0.19891229142815572,0.5,0.7656354870796204,0.3257829248905182,0.3379571248420876,0.3379571248423707,0.20375063355296502,0.9901477832512315,0.3379571248423707,0.20375063355296502,0.9901477832512315,0.3379571248423707,0.0005
