epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_best_threshold,val_best_threshold_score,val_optimized_f1,val_optimized_precision,val_optimized_recall,val_optimized_f1_epoch,val_optimized_precision_epoch,val_optimized_recall_epoch,monitor_score,lr
1,0.5242743167543711,0.4657534246575342,0.25161887141535616,0.3267267267267267,0.5002937389035556,0.46666534300858514,0.5,0.0874959921375476,0.5414120841819416,0.0,0.0,0.0,0.5181690562430245,0.4723052102374227,0.5,0.08653000758888765,0.46951448917388916,0.629223957119121,0.6292239571195526,0.45918367346938777,0.999259807549963,0.6292239571195526,0.45918367346938777,0.999259807549963,0.6292239571195526,0.0005
2,0.5270751994567985,0.4538419016030956,0.1518963922294172,0.22761297477127806,0.5043857021439067,0.462077729916605,0.5,0.08660905161928471,0.5414120841819416,0.0,0.0,0.0,0.5217226761089545,0.47647194501716655,0.5,0.0862921516626608,0.477567195892334,0.6291036088470658,0.629103608847497,0.45889945652173914,1.0,0.629103608847497,0.45889945652173914,1.0,0.629103608847497,0.0005
3,0.5335257171957223,0.46033129904097647,0.09768732654949121,0.16117216117216118,0.500237947515187,0.45811893466628967,0.5,0.0864911926997232,0.5414120841819416,0.0,0.0,0.0,0.5251593502084836,0.4815905253005021,0.5,0.08633316619333084,0.4755551218986511,0.6306136844575961,0.6306136844580297,0.4620951068228808,0.9925980754996299,0.6306136844580297,0.4620951068228808,0.9925980754996299,0.6306136844580297,0.0005
4,0.5335257171957223,0.45154419595314166,0.0784458834412581,0.13366960907944514,0.49435629343833215,0.4539869074864306,0.5,0.0865453899240599,0.5414120841819416,0.0,0.0,0.0,0.528689998584585,0.4816258290125654,0.5,0.086249722927829,0.482479453086853,0.6302265825737329,0.6302265825741649,0.46040955631399316,0.9985196150999259,0.6302265825741649,0.46040955631399316,0.9985196150999259,0.6302265825741649,0.0005
5,0.5347988456968257,0.4595744680851064,0.07992599444958372,0.13617021276595745,0.5006558461933257,0.45802509583359496,0.5,0.08643170873512944,0.5414120841819416,0.0,0.0,0.0,0.5327295002656803,0.4785269018328097,0.5,0.08625245816595928,0.4810779392719269,0.6297335203361737,0.6297335203366059,0.46019815510761874,0.997039230199852,0.6297335203366059,0.46019815510761874,0.997039230199852,0.6297335203366059,0.0005
6,0.5398913597012391,0.48148148148148145,0.038482886216466235,0.07126948775055679,0.4971693051041867,0.45910854305967563,0.5,0.08640323677202211,0.5414120841819416,0.0,0.0,0.0,0.5255630915448675,0.4784043697709601,0.5,0.08632329190295324,0.4894927144050598,0.630194881427132,0.6301948814275652,0.4614855570839065,0.993338267949667,0.6301948814275652,0.4614855570839065,0.993338267949667,0.6301948814275652,0.0005
7,0.5375997283992531,0.4708276797829037,0.06419981498612395,0.11299251058287203,0.5011167416668686,0.4608769609062148,0.5,0.08641341962002469,0.5414120841819416,0.0,0.0,0.0,0.5259914286178357,0.47951782907669505,0.5,0.08622305983398046,0.4772009253501892,0.6293966922893427,0.629396692289774,0.4592114208021754,1.0,0.629396692289774,0.4592114208021754,1.0,0.629396692289774,0.0005
8,0.5364963503649635,0.4274611398963731,0.030527289546716005,0.05698497668796408,0.4971631834281879,0.45468607711331765,0.5,0.08639497461691917,0.5414120841819416,0.0,0.0,0.0,0.5282103817211911,0.48058171662971805,0.5,0.08622799283658576,0.4823864698410034,0.6293183940238446,0.6293183940242764,0.45959768155472214,0.997779422649889,0.6293183940242764,0.45959768155472214,0.997779422649889,0.6293183940242764,0.0005
9,0.5379392293328806,0.47332421340629277,0.06401480111008326,0.11277705345501955,0.4968589129208997,0.4612722548280719,0.5,0.08639616237681702,0.5414120841819416,0.0,0.0,0.0,0.5271300255934881,0.481052023076352,0.5,0.08620680896445189,0.4772989749908447,0.6295173700158893,0.6295173700163208,0.45949625595643295,0.999259807549963,0.6295173700163208,0.45949625595643295,0.999259807549963,0.6295173700163208,0.00025
10,0.5419283653030046,0.5082304526748971,0.04569842738205365,0.08385673060600916,0.515055725384516,0.4727250493027556,0.5,0.0862550125350634,0.5414120841819416,0.0,0.0,0.0,0.5278212586056074,0.48000673010076156,0.5,0.08622130190666565,0.4700452387332916,0.6293445299739094,0.629344529974341,0.45946866485013627,0.9985196150999259,0.629344529974341,0.45946866485013627,0.9985196150999259,0.629344529974341,0.00025
11,0.5413342386691563,0.502092050209205,0.022201665124884366,0.042523033309709427,0.50434621588308,0.46411590983523276,0.5,0.08629563948614774,0.5414120841819416,0.0,0.0,0.0,0.5284730456250913,0.4768621192612601,0.5,0.08634238369960164,0.46277767419815063,0.6296816479396424,0.6296816479400749,0.46045874700445055,0.9955588452997779,0.6296816479400749,0.46045874700445055,0.9955588452997779,0.6296816479400749,0.00025
12,0.5419283653030046,0.5085106382978724,0.04421831637372803,0.08136170212765957,0.5270728945097415,0.48082774580649656,0.5,0.08614940890617716,0.5414120841819416,0.0,0.0,0.0,0.5294127883908124,0.477764832946852,0.5,0.0862559878848397,0.4562586843967438,0.6291036088470658,0.629103608847497,0.45889945652173914,1.0,0.629103608847497,0.45889945652173914,1.0,0.629103608847497,0.00025
