Fold,accuracy,precision,recall,f1,auc,Threshold
1,0.7619047619047619,0.35526315789473684,0.5625,0.43548387096774194,0.7172256097560976,0.08
2,0.8605442176870748,0.574468085106383,0.5625,0.5684210526315789,0.7905657181571816,0.22
3,0.8435374149659864,0.5151515151515151,0.3617021276595745,0.425,0.7505383753983979,0.19
4,0.8469387755102041,0.5294117647058824,0.3829787234042553,0.4444444444444444,0.7689723490395383,0.18000000000000002
5,0.6598639455782312,0.26956521739130435,0.6595744680851063,0.38271604938271603,0.7225428546817124,0.05
