epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,monitor_score,lr
1,0.4948770491803279,0.4948770491803279,1.0,0.6620973269362577,0.48528256879963383,0.4815070760384992,0.33132001757621765,0.7129753232002258,0.46258503401360546,0.1791907514450867,0.6595744680851063,0.2818181818181818,0.497545008183306,0.15371515084055754,0.5367737412452698,0.7487667888200202,0.28181818181784585,0.2818181818181818,0.0007
2,0.4948770491803279,0.4948770491803279,1.0,0.6620973269362577,0.5079172598574662,0.5091928260368159,0.34993672370910645,0.7035065156514527,0.3435374149659864,0.17699115044247787,0.851063829787234,0.29304029304029305,0.5144284606770609,0.15632268633095497,0.5059763789176941,0.7093855738639832,0.293040293040008,0.29304029304029305,0.0007
3,0.5040983606557377,0.49947807933194155,0.9906832298136646,0.6641221374045801,0.5463854207350106,0.5328367197868149,0.40917348861694336,0.6971080097995821,0.3673469387755102,0.17972350230414746,0.8297872340425532,0.29545454545454547,0.5268326298561461,0.16262868314215911,0.6052950620651245,0.8766207674733636,0.29545454545425276,0.29545454545454547,0.0007
4,0.5035860655737705,0.49922077922077923,0.994824016563147,0.664821860947769,0.6172606973824013,0.5929632736139601,0.30411913990974426,0.680264024460902,0.5578231292517006,0.2097902097902098,0.6382978723404256,0.3157894736842105,0.5477646653458523,0.1754866184872852,0.7406283617019653,1.1741107556284691,0.3157894736838382,0.3157894736842105,0.0007
5,0.5665983606557377,0.5370828182941904,0.8995859213250518,0.6726006191950464,0.6679622373687105,0.6528104838957648,0.34658515453338623,0.6561486144534877,0.5068027210884354,0.20481927710843373,0.723404255319149,0.3192488262910798,0.5622792660866569,0.19211726757101785,0.794280469417572,1.366517189408646,0.31924882629073587,0.3192488262910798,0.0007
6,0.5681352459016393,0.5376607470912431,0.9089026915113871,0.6756444786456329,0.6514930559930119,0.6369416824985042,0.3393400013446808,0.6644921635018021,0.4489795918367347,0.20207253886010362,0.8297872340425532,0.325,0.5719700232578172,0.18667455251321646,0.7643677592277527,1.2623453862002108,0.324999999999685,0.325,0.0007
7,0.5860655737704918,0.5473621103117506,0.9451345755693582,0.6932422171602126,0.6959204221418703,0.6694790782959616,0.31627482175827026,0.6408173559141941,0.4557823129251701,0.1878453038674033,0.723404255319149,0.2982456140350877,0.5331639245413041,0.16476731084283383,0.8178946375846863,1.4639473804811232,0.29824561403476046,0.2982456140350877,0.0007
8,0.6050204918032787,0.5650433622414943,0.8768115942028986,0.6872210953346856,0.7009877414234058,0.6838001342139975,0.34584730863571167,0.6357754185551503,0.6462585034013606,0.24324324324324326,0.574468085106383,0.34177215189873417,0.5997501938151434,0.195500900629979,0.8343396186828613,1.523546190488906,0.3417721518983162,0.34177215189873417,0.0007
9,0.65625,0.6171564733915806,0.8043478260869565,0.6984269662921349,0.7329916974285966,0.721541465031394,0.3561025559902191,0.611137541591144,0.7142857142857143,0.29213483146067415,0.5531914893617021,0.38235294117647056,0.6568179860453096,0.2554235962168643,0.8600417375564575,1.6699949511054422,0.3823529411760183,0.38235294117647056,0.0007
10,0.6542008196721312,0.6127033307513555,0.8188405797101449,0.7009304386353566,0.7344730995846614,0.7245258320751221,0.35387909412384033,0.6113010410402642,0.8299319727891157,0.4594594594594595,0.3617021276595745,0.40476190476190477,0.6609527091050047,0.3531384666148133,0.8620830178260803,1.6320196236071944,0.4047619047614119,0.40476190476190477,0.0007
11,0.6516393442622951,0.6062407132243685,0.84472049689441,0.7058823529411765,0.7460387453332157,0.7262235323323012,0.31972572207450867,0.6020058554704072,0.6462585034013606,0.24778761061946902,0.5957446808510638,0.35,0.6440692566112499,0.25939206216426525,0.8526222109794617,1.5167283549600719,0.3499999999995851,0.35,0.0007
12,0.6869877049180327,0.636643571978445,0.8561076604554866,0.730242825607064,0.7630564969616032,0.7429706548196509,0.34798383712768555,0.5875317244256129,0.8027210884353742,0.37209302325581395,0.3404255319148936,0.35555555555555557,0.6488069601171506,0.2886859277506083,0.8646346926689148,1.5224846358201942,0.35555555555505647,0.35555555555555557,0.0007
13,0.7182377049180327,0.6771720613287905,0.8229813664596274,0.7429906542056075,0.7937470340460022,0.7830377930184627,0.37114447355270386,0.559236361355078,0.7278911564625851,0.30120481927710846,0.5319148936170213,0.38461538461538464,0.6698251356706004,0.38048323287556857,0.8711151480674744,1.5839134162786055,0.384615384614923,0.38461538461538464,0.0007
14,0.7243852459016393,0.6786310517529215,0.8416149068322981,0.7513863216266173,0.8054943116676956,0.8022378817099041,0.3136817216873169,0.5437380358821056,0.7721088435374149,0.3275862068965517,0.40425531914893614,0.3619047619047619,0.6369196313205272,0.3190009267517637,0.8906913995742798,1.6612503131230671,0.3619047619042674,0.3619047619047619,0.0007
15,0.7284836065573771,0.6819699499165276,0.8457556935817805,0.755083179297597,0.8167817351828287,0.8108542750449784,0.3565903902053833,0.5329226377557535,0.7925170068027211,0.37037037037037035,0.425531914893617,0.39603960396039606,0.6643983116547506,0.3736413430835724,0.9068986177444458,1.7005809018401061,0.39603960395989846,0.39603960396039606,0.0007
16,0.7510245901639344,0.7076124567474048,0.8467908902691511,0.7709707822808671,0.8216007542447263,0.8087917270988296,0.3600674569606781,0.5244483146511141,0.782312925170068,0.3508771929824561,0.425531914893617,0.38461538461538464,0.6815401843397365,0.38865957757198816,0.8882734179496765,1.0694854214888851,0.38461538461488926,0.38461538461538464,0.0007
17,0.7843237704918032,0.7607655502392344,0.8229813664596274,0.7906514172053705,0.8483373859288843,0.8401322121984723,0.4292512536048889,0.488443556867662,0.7925170068027211,0.37037037037037035,0.425531914893617,0.39603960396039606,0.6852442070807132,0.4072431592977406,0.9100893139839172,1.317782065089868,0.39603960395989846,0.39603960396039606,0.00035
18,0.7710040983606558,0.7378551787351054,0.8333333333333334,0.7826932425862907,0.8439005287272331,0.8367205652893723,0.3946385681629181,0.496740350469214,0.7653061224489796,0.3333333333333333,0.46808510638297873,0.3893805309734513,0.6831768455508657,0.4073363761991899,0.9221667647361755,1.497502587279495,0.3893805309729655,0.3893805309734513,0.00035
19,0.7961065573770492,0.7644320297951583,0.849896480331263,0.8049019607843138,0.8607429478538042,0.8534300518827904,0.36851292848587036,0.47030556128650414,0.7755102040816326,0.3492063492063492,0.46808510638297873,0.4,0.6855026272719442,0.4003878098998282,0.9210548996925354,1.3994786520393527,0.3999999999995106,0.4,0.00035
20,0.78125,0.7349607672188317,0.8726708074534162,0.7979176526265973,0.8655598671252609,0.8519040050957073,0.33917561173439026,0.4671356482583968,0.7755102040816326,0.3442622950819672,0.44680851063829785,0.3888888888888889,0.6774054612800414,0.3813315428038764,0.9191313982009888,1.2472878621549022,0.38888888888839723,0.3888888888888889,0.00035
21,0.7858606557377049,0.7655038759689923,0.8178053830227743,0.7907907907907908,0.8628500875612614,0.8622945497803662,0.44041281938552856,0.4696332846508651,0.7789115646258503,0.3548387096774194,0.46808510638297873,0.4036697247706422,0.6902403307778446,0.3939666058165633,0.9266563057899475,1.2429640033618123,0.40366972477015167,0.4036697247706422,0.00035
22,0.7961065573770492,0.7664165103189493,0.8457556935817805,0.8041338582677166,0.8703153675263209,0.8684305666697707,0.3724784851074219,0.45712288090440095,0.8095238095238095,0.40816326530612246,0.425531914893617,0.4166666666666667,0.6937720733913343,0.41374124515983124,0.9372127652168274,1.432754695010023,0.4166666666661669,0.4166666666666667,0.00035
23,0.7996926229508197,0.764489420423183,0.860248447204969,0.8095470043838285,0.8776410114270595,0.8648932390105943,0.3944575786590576,0.44772602104749837,0.7959183673469388,0.37735849056603776,0.425531914893617,0.4,0.7001464381083642,0.4229862906858807,0.9404544234275818,1.3334880491503243,0.3999999999995018,0.4,0.00035
24,0.795594262295082,0.7547169811320755,0.8695652173913043,0.8080808080808081,0.8791602098110609,0.8799137192737002,0.3566826581954956,0.44408444449549817,0.7993197278911565,0.38461538461538464,0.425531914893617,0.40404040404040403,0.6993711775346714,0.4205637526953529,0.9365151524543762,1.1756794452667236,0.4040404040399053,0.40404040404040403,0.00035
25,0.8043032786885246,0.761180679785331,0.8809523809523809,0.8166986564299424,0.8800652194910947,0.8732320432789453,0.36324089765548706,0.4409004921307329,0.8061224489795918,0.4074074074074074,0.46808510638297873,0.43564356435643564,0.7124644672237057,0.452058834561996,0.886853039264679,0.8206302602680362,0.43564356435593804,0.43564356435643564,0.00035
26,0.7858606557377049,0.7386759581881533,0.8778467908902692,0.8022705771050141,0.8698633876339142,0.8675597991483361,0.3349802494049072,0.45752679764247334,0.8435374149659864,0.5151515151515151,0.3617021276595745,0.425,0.7015246791282626,0.4294248747365656,0.9436090588569641,1.0661869016634364,0.4249999999995154,0.425,0.00035
27,0.8048155737704918,0.7572559366754618,0.8913043478260869,0.818830242510699,0.8887688508686833,0.8847332225913734,0.3494434952735901,0.4271708448402217,0.7993197278911565,0.4,0.5106382978723404,0.4485981308411215,0.7165991902834008,0.46137006214057624,0.9334954023361206,1.1176171152770114,0.4485981308406289,0.4485981308411215,0.00035
28,0.8171106557377049,0.7913875598086124,0.8561076604554866,0.8224763799104923,0.8926398145465082,0.8917790681381397,0.38583263754844666,0.42063774730338427,0.8129251700680272,0.4166666666666667,0.425531914893617,0.42105263157894735,0.6996295977259023,0.4341097519105333,0.9517771601676941,1.5151555416535358,0.4210526315784474,0.42105263157894735,0.00035
29,0.8114754098360656,0.7582037996545768,0.9089026915113871,0.8267419962335216,0.8995071791835174,0.8949837377230427,0.29766225814819336,0.4054540801243704,0.7925170068027211,0.38333333333333336,0.48936170212765956,0.42990654205607476,0.7095357050564217,0.44727951520231796,0.9520517587661743,1.283917750225586,0.42990654205558215,0.42990654205607476,0.00035
30,0.8217213114754098,0.8023483365949119,0.8488612836438924,0.8249496981891348,0.8992321066357576,0.8985051602758558,0.4539291560649872,0.40610853497122157,0.8435374149659864,0.5142857142857142,0.3829787234042553,0.43902439024390244,0.7067792230166251,0.42800590150005535,0.9608645439147949,1.183073035308293,0.43902439024341317,0.43902439024390244,0.00035
31,0.8140368852459017,0.7778801843317973,0.8737060041407867,0.8230131643100926,0.8971239170330803,0.8920934426037254,0.3631448447704315,0.4111505803026137,0.8401360544217688,0.5,0.3829787234042553,0.43373493975903615,0.7097941252476527,0.45736643379514164,0.9613698720932007,1.2190581677722283,0.43373493975854494,0.43373493975903615,0.00035
32,0.8176229508196722,0.7772727272727272,0.8850931677018633,0.8276863504356244,0.8982997996799919,0.8872920110916875,0.366769939661026,0.4077117594539142,0.8129251700680272,0.4166666666666667,0.425531914893617,0.42105263157894735,0.6987681970884659,0.39471051088649906,0.9642458558082581,1.4113070989141658,0.4210526315784474,0.42105263157894735,0.00035
33,0.8104508196721312,0.7821969696969697,0.855072463768116,0.8170128585558852,0.8908045977011494,0.8846971710785341,0.42899298667907715,0.42274278206903426,0.8367346938775511,0.4864864864864865,0.3829787234042553,0.42857142857142855,0.7120337669049875,0.46255722918167663,0.9544557929039001,1.1580270938321846,0.42857142857093566,0.42857142857142855,0.00035
34,0.8345286885245902,0.8155053974484789,0.860248447204969,0.83727959697733,0.9050170293004758,0.9009432670863244,0.4695338010787964,0.3956678091991143,0.8129251700680272,0.42857142857142855,0.5106382978723404,0.46601941747572817,0.7258161771039712,0.4790448292970404,0.953377366065979,1.0653799232982455,0.466019417475232,0.46601941747572817,0.00035
35,0.8242827868852459,0.7749338040600177,0.9089026915113871,0.8365888518342067,0.899885141462882,0.8908306052303286,0.3357815146446228,0.40532810448623097,0.8435374149659864,0.5135135135135135,0.40425531914893614,0.4523809523809524,0.7122921870962184,0.4563802436906834,0.9656772017478943,1.2887307016216978,0.45238095238045944,0.4523809523809524,0.00035
36,0.829405737704918,0.7874659400544959,0.8975155279503105,0.8388969521044993,0.9073383476329062,0.8989153366442143,0.3702326714992523,0.390867320973365,0.8095238095238095,0.423728813559322,0.5319148936170213,0.4716981132075472,0.7226289947454562,0.47643985306362713,0.9572533369064331,1.3420958154055538,0.47169811320705357,0.4716981132075472,0.00035
37,0.8417008196721312,0.833502538071066,0.849896480331263,0.8416196822142491,0.910418740209727,0.903750153212392,0.49591636657714844,0.38323480696951756,0.8333333333333334,0.4772727272727273,0.44680851063829785,0.46153846153846156,0.7156516495822207,0.4692077300132093,0.9595815539360046,1.1488955787249975,0.46153846153796213,0.46153846153846156,0.00035
38,0.8160860655737705,0.7636837532580365,0.9099378881987578,0.8304204062352385,0.9000552244885959,0.8888207962064484,0.3210928440093994,0.40602854749218364,0.8095238095238095,0.42105263157894735,0.5106382978723404,0.46153846153846156,0.7176328710483246,0.4715595860628592,0.9532838463783264,1.1302163110298364,0.4615384615379661,0.46153846153846156,0.00035
39,0.8335040983606558,0.7964847363552267,0.8913043478260869,0.8412310698583293,0.911008781323624,0.9041898772073421,0.3789406716823578,0.3817579649755212,0.8605442176870748,0.6,0.3829787234042553,0.4675324675324675,0.7101386855026274,0.4780430526261482,0.9646207094192505,1.0783281898011967,0.4675324675319919,0.4675324675324675,0.00035
40,0.8386270491803278,0.8387096774193549,0.8343685300207039,0.8365334717176959,0.9098454974193577,0.911829235937344,0.4981611967086792,0.3865901568873984,0.826530612244898,0.4523809523809524,0.40425531914893614,0.42696629213483145,0.6968731156861057,0.45474184357984626,0.967915952205658,1.2744716851889681,0.42696629213433307,0.42696629213483145,0.00035
