epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,monitor_score,lr
1,0.5,0.5,1.0,0.6666666666666666,0.4970330056902106,0.49765321722504297,0.31424468755722046,0.7019871842063223,0.43537414965986393,0.1783783783783784,0.7021276595744681,0.28448275862068967,0.5326901541907142,0.2045506474827789,0.5204411745071411,0.7225836264032895,0.2844827586203666,0.28448275862068967,0.0007
2,0.5010141987829615,0.500507614213198,1.0,0.6671177266576455,0.5242214532871972,0.517763492754914,0.38295358419418335,0.6928692628113784,0.6224489795918368,0.25384615384615383,0.7021276595744681,0.3728813559322034,0.6323542079421139,0.271406815020077,0.5022174715995789,0.6956830450466701,0.3728813559318134,0.3728813559322034,0.0007
3,0.5035496957403651,0.5017866258295048,0.9969574036511156,0.667572156196944,0.5263089953054734,0.5234604352660914,0.3779478371143341,0.6933284404311654,0.7585034013605442,0.3333333333333333,0.5106382978723404,0.40336134453781514,0.6973038160048238,0.2868510571270369,0.4189174771308899,0.5929393788584235,0.40336134453733713,0.40336134453781514,0.0007
4,0.5005070993914807,0.5002536783358701,1.0,0.6668921203922895,0.5410102489621433,0.5431633774340239,0.36590227484703064,0.6909038667504734,0.5510204081632653,0.23270440251572327,0.7872340425531915,0.3592233009708738,0.6755103798776811,0.35090036821823467,0.4366569519042969,0.6136172486811268,0.3592233009705215,0.3592233009708738,0.0007
5,0.6242393509127789,0.5881929445644348,0.8286004056795132,0.688,0.6919736349460397,0.6873739484115098,0.4260803163051605,0.6372412275107346,0.7551020408163265,0.31343283582089554,0.44680851063829785,0.3684210526315789,0.6730984580928591,0.2957310321449958,0.6617617607116699,0.626983353880798,0.36842105263109437,0.3684210526315789,0.0007
6,0.744421906693712,0.7429435483870968,0.7474645030425964,0.7451971688574317,0.7870521993507482,0.778733197509363,0.4551581144332886,0.5550838158773844,0.826530612244898,0.4411764705882353,0.3191489361702128,0.37037037037037035,0.6732707382203463,0.3551650033288387,0.8819738626480103,1.107074805668422,0.37037037036988324,0.37037037037037035,0.0007
7,0.7545638945233266,0.7225177304964538,0.8265720081135902,0.771050141911069,0.8225584141469416,0.8243133832479701,0.32667604088783264,0.5131413100578238,0.6666666666666666,0.26605504587155965,0.6170212765957447,0.3717948717948718,0.6825738651046601,0.3457013741955494,0.8428866863250732,1.1534948219247416,0.37179487179445075,0.3717948717948718,0.0007
8,0.7854969574036511,0.7778874629812438,0.7991886409736308,0.7883941970985493,0.8490726149871013,0.8519023153107045,0.400363564491272,0.4797443992951337,0.673469387755102,0.2831858407079646,0.6808510638297872,0.4,0.6879145490567664,0.365711364773197,0.8964974284172058,1.329219228556367,0.3999999999995851,0.4,0.0007
9,0.7920892494929006,0.8063829787234043,0.768762677484787,0.7871235721703012,0.8421830577373286,0.8471162819130235,0.46815264225006104,0.4859783832610983,0.7006802721088435,0.3047619047619048,0.6808510638297872,0.42105263157894735,0.7221121543629943,0.3785494107505055,0.9091612100601196,1.3653498206819807,0.4210526315785202,0.42105263157894735,0.0007
10,0.7849898580121704,0.7554545454545455,0.8427991886409736,0.7967401725790988,0.858013198984567,0.8612542222928561,0.3384378254413605,0.46660085726703154,0.7789115646258503,0.36363636363636365,0.5106382978723404,0.4247787610619469,0.7228012748729434,0.3981386764228248,0.9413719773292542,1.662770650824722,0.424778761061461,0.4247787610619469,0.0007
