epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,monitor_score,lr
1,0.5,0.5,1.0,0.6666666666666666,0.4837141893198491,0.48129526272766454,0.292021781206131,0.7042473930616165,0.42517006802721086,0.18877551020408162,0.7872340425531915,0.3045267489711934,0.5649065380308381,0.21600702015406417,0.4806775748729706,0.6685473870257942,0.3045267489708814,0.3045267489711934,0.0007
2,0.5,0.5,1.0,0.6666666666666666,0.49954330196791596,0.5002486849247282,0.37141236662864685,0.6983214315729741,0.5680272108843537,0.2222222222222222,0.6808510638297872,0.33507853403141363,0.5982427426996296,0.21053778642339682,0.48830196261405945,0.6769562485266705,0.3350785340310426,0.33507853403141363,0.0007
3,0.5005070993914807,0.5002536783358701,1.0,0.6668921203922895,0.5248612419717834,0.5129042484347641,0.40304097533226013,0.6931164222363284,0.5986394557823129,0.2204724409448819,0.5957446808510638,0.3218390804597701,0.5970367818072185,0.20686191126676015,0.4597246050834656,0.6398662515238028,0.32183908045937576,0.3218390804597701,0.0007
4,0.5015212981744422,0.5007618080243779,1.0,0.6673434856175973,0.5360971450201399,0.5208111214041279,0.393552303314209,0.6919374920533589,0.4489795918367347,0.19895287958115182,0.8085106382978723,0.31932773109243695,0.5891980360065466,0.19428628759427702,0.4538487493991852,0.6386583966462791,0.31932773109212,0.31932773109243695,0.0007
5,0.5405679513184585,0.5222965440356745,0.9503042596348884,0.6741007194244605,0.6064456138474135,0.5912983599022879,0.39099496603012085,0.6752610869146506,0.4013605442176871,0.19138755980861244,0.851063829787234,0.3125,0.5463864243259541,0.17270988402987733,0.2714093327522278,0.48096329135959653,0.3124999999997002,0.3125,0.0007
6,0.75,0.720680393912265,0.8164300202839757,0.7655729909652876,0.8082279704915469,0.7901350898538526,0.40644246339797974,0.5348399698613382,0.7993197278911565,0.4117647058823529,0.5957446808510638,0.48695652173913045,0.7280558187613059,0.4621628829211618,0.2343081831932068,0.4018919958549292,0.4869565217386471,0.48695652173913045,0.0007
7,0.7723123732251521,0.7488415199258572,0.8194726166328601,0.7825665859564165,0.840086772626096,0.8500702662533274,0.3268835246562958,0.48802982146793156,0.7993197278911565,0.4090909090909091,0.574468085106383,0.4778761061946903,0.7240072357653545,0.4389502636083869,0.21429765224456787,0.3947506611849986,0.4778761061942044,0.4778761061946903,0.0007
8,0.8113590263691683,0.8293991416309013,0.783975659229209,0.8060479666319083,0.8575132997872857,0.8659345935455505,0.41214805841445923,0.45478016996480386,0.8639455782312925,0.6206896551724138,0.3829787234042553,0.47368421052631576,0.7235765354466364,0.4546911235965643,0.8666444420814514,0.5062838723870362,0.47368421052584375,0.47368421052631576,0.0007
9,0.8052738336713996,0.799800796812749,0.8144016227180527,0.807035175879397,0.864992244362248,0.8723816266353959,0.37274518609046936,0.455742607735717,0.8571428571428571,0.5609756097560976,0.48936170212765956,0.5227272727272727,0.7393401671117237,0.48747195931819837,0.9120733737945557,0.8557622854401465,0.522727272726775,0.5227272727272727,0.0007
10,0.8164300202839757,0.8298097251585623,0.7961460446247465,0.8126293995859213,0.8752905792659093,0.8944877534954511,0.4048614501953125,0.42486197366917594,0.8571428571428571,0.5714285714285714,0.425531914893617,0.4878048780487805,0.732621242139719,0.47163461502468096,0.9437701106071472,0.9352453249652369,0.4878048780482912,0.4878048780487805,0.0007
11,0.8078093306288032,0.8001978239366964,0.8204868154158215,0.8102153229844767,0.8725761060526889,0.8781294702161162,0.36768755316734314,0.44205292243261124,0.8503401360544217,0.5348837209302325,0.48936170212765956,0.5111111111111111,0.7313291411835643,0.49440014542102595,0.8643043637275696,0.5832336289542062,0.511111111110612,0.5111111111111111,0.0007
12,0.8367139959432048,0.8346774193548387,0.8397565922920892,0.8372093023255814,0.8955766121234812,0.9079016359925717,0.3842093050479889,0.3963724296789382,0.8435374149659864,0.5135135135135135,0.40425531914893614,0.4523809523809524,0.7322766818847445,0.43528781437360203,0.9058810472488403,0.8208238308121558,0.45238095238045944,0.4523809523809524,0.0007
13,0.8362068965517241,0.8379204892966361,0.8336713995943205,0.8357905439755974,0.8962030290188399,0.9093853430743448,0.40336471796035767,0.39185833979330004,0.8231292517006803,0.45454545454545453,0.5319148936170213,0.49019607843137253,0.7359807046257213,0.46594540084235275,0.4465045630931854,0.4556493888906881,0.4901960784308756,0.49019607843137253,0.0007
14,0.8519269776876268,0.8555327868852459,0.8468559837728195,0.8511722731906218,0.9129023365658776,0.9193048529294859,0.41643550992012024,0.3646920497470647,0.8639455782312925,0.6129032258064516,0.40425531914893614,0.48717948717948717,0.7447669911275734,0.46954542095902335,0.8982298374176025,0.5070861594206622,0.48717948717900816,0.48717948717948717,0.0007
15,0.845841784989858,0.8451417004048583,0.8468559837728195,0.8459979736575481,0.9136923007294826,0.9272858477467416,0.3478708565235138,0.358391446830293,0.8333333333333334,0.48,0.5106382978723404,0.4948453608247423,0.7447669911275734,0.47523718080511457,0.3134174048900604,0.4064424471790288,0.4948453608242427,0.4948453608247423,0.0007
16,0.8686612576064908,0.877466251298027,0.8569979716024341,0.8671113391482812,0.9228180325777929,0.935924996690349,0.40615183115005493,0.33613010582043723,0.8435374149659864,0.5135135135135135,0.40425531914893614,0.4523809523809524,0.7271082780601257,0.40385501675473134,0.8664089441299438,0.5851874481253072,0.45238095238045944,0.4523809523809524,0.00035
17,0.8701825557809331,0.8916309012875536,0.8427991886409736,0.8665276329509907,0.9247538562182935,0.9318146133600407,0.4885057508945465,0.3387669254147257,0.7108843537414966,0.32075471698113206,0.723404255319149,0.4444444444444444,0.7443362908088552,0.4404963091788067,0.5030927062034607,0.6828728216845973,0.4444444444440187,0.4444444444444444,0.00035
18,0.8752535496957403,0.8854166666666666,0.8620689655172413,0.8735868448098664,0.9301231438927953,0.9402819935911685,0.38268160820007324,0.31753844294780165,0.8401360544217688,0.5,0.44680851063829785,0.47191011235955055,0.7488155741235248,0.45866903875759346,0.48625731468200684,0.4387244351056157,0.4719101123590521,0.47191011235955055,0.00035
19,0.8767748478701826,0.8964781216648879,0.8519269776876268,0.8736349453978159,0.9322266291982276,0.9386561893773893,0.485994428396225,0.3223063285948055,0.8401360544217688,0.5,0.5106382978723404,0.5052631578947369,0.7609613231113791,0.48640012603259064,0.3359440863132477,0.391390006152951,0.5052631578942369,0.5052631578947369,0.00035
20,0.8651115618661258,0.8651115618661258,0.8651115618661258,0.8651115618661258,0.9300645137400276,0.9361348368089388,0.3836899995803833,0.3283594381253086,0.8299319727891157,0.47058823529411764,0.5106382978723404,0.4897959183673469,0.7626841243862521,0.4638222671107364,0.16644226014614105,0.38579662194868336,0.4897959183668477,0.4897959183673469,0.00035
21,0.8879310344827587,0.9153094462540716,0.8549695740365112,0.8841111693759832,0.9389053236178713,0.9507255426677699,0.4529688358306885,0.29717629495063613,0.826530612244898,0.4642857142857143,0.5531914893617021,0.5048543689320388,0.7667327073822034,0.4652182331182318,0.19996163249015808,0.3908585030205396,0.5048543689315427,0.5048543689320388,0.00035
22,0.8793103448275862,0.8995726495726496,0.8539553752535497,0.8761706555671176,0.9354677451871845,0.9482665396067886,0.462186336517334,0.30453866188231155,0.8333333333333334,0.4827586206896552,0.5957446808510638,0.5333333333333333,0.7711258506331296,0.46621253250625844,0.36837321519851685,0.4326227428961773,0.5333333333328387,0.5333333333333333,0.00035
