epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,train_threshold,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_threshold,val_loss,val_threshold_score,monitor_score,lr
1,0.16071428571428573,0.16071428571428573,1.0,0.27692307692307694,0.49237441233388546,0.16681967237891565,0.23063012957572937,1.1886543408543073,0.5272108843537415,0.21019108280254778,0.6875,0.32195121951219513,0.5969681571815718,0.22918836949308902,0.5383890271186829,1.1731555818700465,0.32195121951183653,0.32195121951219513,0.0007
2,0.21598639455782312,0.1659070191431176,0.9629629629629629,0.28304821150855364,0.4602424105970205,0.14896544814817048,0.39964380860328674,1.190211870232407,0.54421768707483,0.22435897435897437,0.7291666666666666,0.3431372549019608,0.6091632791327914,0.21844493727891584,0.5202856659889221,1.170790203980037,0.34313725490160096,0.3431372549019608,0.0007
3,0.16581632653061223,0.16153846153846155,1.0,0.2781456953642384,0.4606605447537565,0.14817493525441253,0.38342201709747314,1.1837492086449448,0.6258503401360545,0.25396825396825395,0.6666666666666666,0.367816091954023,0.6476117886178863,0.26550482439280987,0.4708311855792999,1.1738056743226084,0.36781609195362347,0.367816091954023,0.0007
4,0.16071428571428573,0.16071428571428573,1.0,0.27692307692307694,0.49166680068402463,0.16620864243966701,0.3596128523349762,1.1730092001610062,0.7108843537414966,0.31683168316831684,0.6666666666666666,0.42953020134228187,0.6944444444444444,0.3223012491045757,0.48639369010925293,1.1709976508503868,0.4295302013418452,0.42953020134228187,0.0007
5,0.2602040816326531,0.16845180136319376,0.9153439153439153,0.2845394736842105,0.494073752432415,0.15331103312422395,0.44825249910354614,1.1689122444918367,0.7891156462585034,0.390625,0.5208333333333334,0.44642857142857145,0.7043529810298103,0.3241657076026941,0.49570807814598083,1.1700458765840855,0.4464285714280816,0.44642857142857145,0.0007
6,0.24829931972789115,0.1674641148325359,0.9259259259259259,0.28363047001620745,0.5281034399575433,0.17122230135431038,0.46446338295936584,1.1618778543407415,0.7414965986394558,0.325,0.5416666666666666,0.40625,0.6763211382113821,0.2707792149757319,0.48890256881713867,1.1705435518504812,0.4062499999995312,0.40625,0.0007
7,0.16071428571428573,0.16071428571428573,1.0,0.27692307692307694,0.450041009311526,0.14512215108090298,0.355118989944458,1.1804974768437495,0.8027210884353742,0.421875,0.5625,0.48214285714285715,0.7157859078590787,0.34698275488941954,0.49917784333229065,1.1694786455355535,0.4821428571423674,0.48214285714285715,0.0007
8,0.3163265306122449,0.16828478964401294,0.8253968253968254,0.27956989247311825,0.5086253571562589,0.16667760482847466,0.49278151988983154,1.169249568261257,0.8333333333333334,0.4878048780487805,0.4166666666666667,0.449438202247191,0.7194275067750677,0.3987793241184253,0.47073811292648315,1.1735572555438192,0.44943820224669406,0.449438202247191,0.0007
9,0.18027210884353742,0.1633362293657689,0.9947089947089947,0.28059701492537314,0.44143709493253563,0.14980525401797837,0.42437753081321716,1.1740881127565086,0.8095238095238095,0.4230769230769231,0.4583333333333333,0.44,0.7043529810298103,0.397512616965529,0.4747770130634308,1.1726870488147347,0.4399999999995008,0.44,0.0007
10,0.17431972789115646,0.16234887737478412,0.9947089947089947,0.2791388270230141,0.4832022643572796,0.1498424923161461,0.44520214200019836,1.1675618793688665,0.7448979591836735,0.30985915492957744,0.4583333333333333,0.3697478991596639,0.6716632791327913,0.3806106685749444,0.5030270218849182,1.1695550574737341,0.36974789915918255,0.3697478991596639,0.0007
11,0.22108843537414966,0.1637372802960222,0.9365079365079365,0.27874015748031494,0.5054705885506291,0.15985910967421302,0.4673595130443573,1.1647470475865058,0.7074829931972789,0.27906976744186046,0.5,0.3582089552238806,0.6720443766937669,0.38890170301377325,0.48322147130966187,1.1708426572838608,0.3582089552234208,0.3582089552238806,0.0007
12,0.1760204081632653,0.16262975778546712,0.9947089947089947,0.2795539033457249,0.49891445940078166,0.15588203529542105,0.4499652087688446,1.165983196829452,0.6224489795918368,0.2396694214876033,0.6041666666666666,0.3431952662721893,0.6593834688346883,0.3797042258323536,0.4752015769481659,1.1718157258163504,0.34319526627178265,0.3431952662721893,0.0007
