model,accuracy,precision,recall,f1,roc_auc,accuracy_pct,precision_pct,recall_pct,f1_pct,roc_auc_pct
Paper Bi-TCN,0.8965,0.6981,0.563,0.6161,0.7758,89.64999999999999,69.81,56.3,61.61,77.58
Our Bi-TCN CV (RandomOverSampling),0.8435374149659864,0.5140562248995983,0.540084388185654,0.5267489711934157,0.7822880628017834,84.35374149659864,51.40562248995983,54.008438818565395,52.674897119341566,78.22880628017835
