,mean,std,mean_std
accuracy,0.8489795918367345,0.03302999560900738,0.8490 +/- 0.0330
precision,0.5478655807469367,0.12736688714018593,0.5479 +/- 0.1274
recall,0.6329787234042554,0.05992163520235136,0.6330 +/- 0.0599
f1,0.5786868385552911,0.05487360544296674,0.5787 +/- 0.0549
roc_auc,0.8135027103189026,0.03221215690743949,0.8135 +/- 0.0322
pr_auc,0.5615108513611731,0.06255579959507818,0.5615 +/- 0.0626
threshold,0.4523651510477066,0.18902945068275376,0.4524 +/- 0.1890
best_epoch,25.2,11.476062042355817,25.2000 +/- 11.4761
