,mean,std,mean_std
accuracy,0.870748299319728,0.024290572886200155,0.8707 +/- 0.0243
precision,0.6327989206616205,0.1109245903851362,0.6328 +/- 0.1109
recall,0.5570035460992908,0.10196172462037403,0.5570 +/- 0.1020
f1,0.5806813007725765,0.05415976399361857,0.5807 +/- 0.0542
roc_auc,0.8104654633203235,0.03538611829626984,0.8105 +/- 0.0354
pr_auc,0.5702557456295742,0.07020680126094675,0.5703 +/- 0.0702
threshold,0.44650784134864807,0.26578377660603725,0.4465 +/- 0.2658
best_epoch,65.6,27.144060123717676,65.6000 +/- 27.1441
