,mean,std,mean_std
accuracy,0.8238095238095239,0.04848579505089922,0.8238 +/- 0.0485
precision,0.48628225353869176,0.09879225929400569,0.4863 +/- 0.0988
recall,0.6283687943262412,0.05896773020750124,0.6284 +/- 0.0590
f1,0.5411091149476318,0.05740684568630313,0.5411 +/- 0.0574
roc_auc,0.7914452280505664,0.043287213760780784,0.7914 +/- 0.0433
pr_auc,0.5153109362472771,0.09543434798817829,0.5153 +/- 0.0954
threshold,0.42112826108932494,0.11603245648247408,0.4211 +/- 0.1160
best_epoch,35.2,19.253571097331527,35.2000 +/- 19.2536
