,mean,std,mean_std
accuracy,0.8414965986394558,0.03250035152541836,0.8415 +/- 0.0325
precision,0.5273744426000065,0.0933937585381717,0.5274 +/- 0.0934
recall,0.5530141843971632,0.04909278790827027,0.5530 +/- 0.0491
f1,0.5324789915966386,0.03238159147111468,0.5325 +/- 0.0324
roc_auc,0.7760357525618499,0.022370546641510884,0.7760 +/- 0.0224
pr_auc,0.46489123198225685,0.09441304961051432,0.4649 +/- 0.0944
threshold,0.939355981349945,0.02180394609944588,0.9394 +/- 0.0218
best_epoch,71.8,18.04716044146558,71.8000 +/- 18.0472
