,mean,std,mean_std
accuracy,0.8530612244897959,0.020036294523840977,0.8531 +/- 0.0200
precision,0.5405997304582211,0.052498516219175326,0.5406 +/- 0.0525
recall,0.6162234042553192,0.05086945558479454,0.6162 +/- 0.0509
f1,0.5754318397060754,0.04878108494322404,0.5754 +/- 0.0488
roc_auc,0.8039962394843174,0.028984631324999954,0.8040 +/- 0.0290
pr_auc,0.5397007789841248,0.054730507735011806,0.5397 +/- 0.0547
threshold,0.443016791343689,0.16621820773374732,0.4430 +/- 0.1662
best_epoch,26.4,15.757537878742351,26.4000 +/- 15.7575
