accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,fold,best_epoch,fixed_threshold_accuracy,fixed_threshold_f1,pos_weight,train_size,val_size,seconds
0.2705,0.21012101210121012,0.9432098765432099,0.34367971210076476,0.5234018344363172,0.21462164897506625,0.32903024554252625,1,4,0.7975,0.0,1.9822067403039025,8000,2000,347.03195214271545
0.2365,0.2065899581589958,0.9753086419753086,0.34095813552006904,0.5088556058671001,0.19812554002463917,0.3371029496192932,2,14,0.7975,0.0,1.9822067403039025,8000,2000,469.81798219680786
0.2915,0.21196581196581196,0.916256157635468,0.34428505321610364,0.504441687114858,0.2017695059266023,0.331016480922699,3,34,0.797,0.0,1.982973144233718,8000,2000,739.417736530304
0.235,0.2079002079002079,0.9852216748768473,0.34334763948497854,0.5226418651222874,0.2183376866016119,0.30919092893600464,4,1,0.797,0.0,1.982973144233718,8000,2000,344.8110284805298
0.2505,0.207910208444682,0.958128078817734,0.3416776460254721,0.498338906366856,0.20537201664347587,0.34841904044151306,5,3,0.797,0.0,1.982973144233718,8000,2000,377.7377610206604
